epoch,train_loss,val_loss,val_r2,val_pearson,val_mae_avg,grad_norm,lr,epoch_time,total_time,MAE_Phys_P0,MAE_Phys_P1,MAE_Phys_P2
99,0.016327608126801806,0.011453725114653382,0.9886289238929749,0.9947183132171631,0.046439905,0.04783237017929173,0.004771516785807872,22.64,2386.28,0.052576397,0.07635448,0.010388839
100,0.016427672328278662,0.01064213921752157,0.9894514083862305,0.9948694705963135,0.03785828,0.0478565660587991,0.004752407606657882,22.67,2408.96,0.048882164,0.054767646,0.009925029
101,0.016376841182525928,0.010538928116424174,0.9895687699317932,0.9947955012321472,0.03571302,0.04623672627983764,0.004732572560526002,22.68,2431.64,0.0497097,0.04799288,0.00943649
102,0.0162352586325746,0.010477964636645739,0.989626407623291,0.9949535727500916,0.03854306,0.044815798072864454,0.0047120180395363535,22.62,2454.26,0.051753823,0.054577123,0.009298236
103,0.016171121749634178,0.010938730420945566,0.9891440868377686,0.9946891665458679,0.03883004,0.048165727103242094,0.004690750667674003,22.68,2476.93,0.048333168,0.05811803,0.010038919
104,0.0158387799613392,0.011378078521052493,0.9887294769287109,0.9947090148925781,0.045450058,0.044499756411289254,0.004668777298650296,22.61,2499.54,0.05459037,0.07262465,0.009135139
105,0.01599754845372404,0.01075310797630986,0.9893608093261719,0.9948257803916931,0.035811473,0.046502912738405094,0.004646105013694144,22.6,2522.14,0.04791298,0.049655557,0.009865873
106,0.01587797658512006,0.011229367950294592,0.9888749122619629,0.9947565197944641,0.04332866,0.045035494997288095,0.004622741119270002,22.58,2544.72,0.04762557,0.072845876,0.009514541
107,0.01588584515995111,0.01086042349851584,0.989226758480072,0.9947437644004822,0.03891742,0.04522657359893711,0.00459869314472326,22.56,2567.28,0.05078398,0.056495186,0.009473083
108,0.015835809250609182,0.011084191406829447,0.9890255331993103,0.9947693943977356,0.038342457,0.04431830387050732,0.004573968839853798,22.6,2589.88,0.04827276,0.05700779,0.009746825
109,0.015839229376552202,0.010798544823368894,0.9893021583557129,0.9950129389762878,0.04151229,0.04443493550316023,0.0045485761724185095,22.61,2612.49,0.04614419,0.068700716,0.00969196
110,0.015635310651395267,0.010734536225282693,0.9893417954444885,0.994803249835968,0.0398932,0.04439545579897329,0.004522523325563573,22.61,2635.1,0.053770248,0.05661658,0.00929277
111,0.015756803579604663,0.010487164123148858,0.9896337389945984,0.9950511455535889,0.0396746,0.04566526978303449,0.0044958186951873265,22.65,2657.76,0.049575567,0.059891514,0.009556716
112,0.015528668229953168,0.011217158051985728,0.9888749122619629,0.9948472380638123,0.03813362,0.04326639569605501,0.004468470887234561,22.57,2680.33,0.05550785,0.048625212,0.0102678025
113,0.015579810157751504,0.010631112358238123,0.9894576072692871,0.9948421120643616,0.03941941,0.046163556448663004,0.00444048871492314,22.61,2702.94,0.05113432,0.057761494,0.009362403
114,0.015576865345525284,0.011416232284111313,0.988694965839386,0.9946447014808655,0.038367193,0.04527642383290746,0.004411881195903811,22.62,2725.56,0.05380829,0.051698238,0.009595056
115,0.015433201774621543,0.010392649264275274,0.9897096157073975,0.9949644207954407,0.0397983,0.045008123777925776,0.004382657549354142,22.6,2748.15,0.047300797,0.06272709,0.009367014
